Time,Values[Absorbance_0.59],Values[Absorbance_1.53],Values[Absorbance_6.6],Values[Absorbance_500],[sGC{[NO]=0.59}],[6C-sGC-NO{[NO]=0.59}],[5C-sGC-NO{[NO]=0.59}],[NO{[NO]=0.59}],[sGC{[NO]=1.53}],[6C-sGC-NO{[NO]=1.53}],[5C-sGC-NO{[NO]=1.53}],[NO{[NO]=1.53}],[sGC{[NO]=6.6}],[6C-sGC-NO{[NO]=6.6}],[5C-sGC-NO{[NO]=6.6}],[NO{[NO]=6.6}],[sGC{[NO]=500}],[6C-sGC-NO{[NO]=500}],[5C-sGC-NO{[NO]=500}],[NO{[NO]=500}]
0,0.05828,0.05828,0.05828,0.05828,4.7e-07,0,0,5.9e-07,4.7e-07,0,0,1.53e-06,4.7e-07,0,0,6.6e-06,4.7e-07,0,0,0.0005
1e-09,0.05828,0.05828,0.05828,0.0582779,4.7e-07,4.29815e-14,8.38999e-24,5.9e-07,4.7e-07,1.1146e-13,5.63321e-23,1.53e-06,4.7e-07,4.80809e-13,1.04744e-21,6.6e-06,4.69964e-07,3.64222e-11,6.00968e-18,0.0005
2e-09,0.05828,0.05828,0.0582799,0.0582758,4.7e-07,8.5963e-14,2.517e-23,5.9e-07,4.7e-07,2.22921e-13,1.68996e-22,1.53e-06,4.69999e-07,9.61618e-13,3.14233e-21,6.6e-06,4.69927e-07,7.28415e-11,1.80286e-17,0.0005
2.12692e-07,0.0582795,0.0582786,0.0582741,0.0578343,4.69991e-07,9.14167e-12,1.89775e-19,5.89991e-07,4.69976e-07,2.3706e-11,1.27417e-18,1.52998e-06,4.69898e-07,1.02253e-10,2.36901e-17,6.5999e-06,4.62316e-07,7.68378e-09,1.34843e-13,0.000499992
4.23384e-07,0.0582789,0.0582773,0.0582682,0.0574,4.69982e-07,1.81971e-11,7.51942e-19,5.89982e-07,4.69953e-07,4.71875e-11,5.04858e-18,1.52995e-06,4.69796e-07,2.0352e-10,9.3862e-17,6.5998e-06,4.54828e-07,1.51711e-08,5.321e-13,0.000499985
6.34077e-07,0.0582784,0.0582759,0.0582623,0.0569728,4.69973e-07,2.72521e-11,1.6865e-18,5.89973e-07,4.69929e-07,7.06675e-11,1.13232e-17,1.52993e-06,4.69695e-07,3.04764e-10,2.10507e-16,6.5997e-06,4.47462e-07,2.25367e-08,1.18752e-12,0.000499977
1.27657e-06,0.0582768,0.0582717,0.0582444,0.0557122,4.69945e-07,5.4863e-11,6.83538e-18,5.89945e-07,4.69858e-07,1.42259e-10,4.58913e-17,1.52986e-06,4.69387e-07,6.13357e-10,8.53022e-16,6.59939e-06,4.25729e-07,4.42658e-08,4.73966e-12,0.000499956
1.79159e-06,0.0582755,0.0582684,0.0582301,0.0547461,4.69923e-07,7.6994e-11,1.34626e-17,5.89923e-07,4.698e-07,1.99636e-10,9.03831e-17,1.5298e-06,4.69139e-07,8.60569e-10,1.6798e-15,6.59914e-06,4.09073e-07,6.09177e-08,9.2131e-12,0.000499939
2.30662e-06,0.0582743,0.0582651,0.0582158,0.0538177,4.69901e-07,9.91231e-11,2.23141e-17,5.89901e-07,4.69743e-07,2.57005e-10,1.49805e-16,1.52974e-06,4.68892e-07,1.10764e-09,2.7838e-15,6.59889e-06,3.93069e-07,7.6916e-08,1.50734e-11,0.000499923
2.82164e-06,0.058273,0.0582618,0.0582014,0.0529257,4.69879e-07,1.2125e-10,3.33895e-17,5.89879e-07,4.69686e-07,3.14364e-10,2.24153e-16,1.52969e-06,4.68645e-07,1.35458e-09,4.16484e-15,6.59865e-06,3.77691e-07,9.22864e-08,2.2266e-11,0.000499908
